id_centros_educacion,centros_educacion
X4K8M,west shore circle
0PCMR,safety harbor middle school
YEIF7,starkey school
6C79F,orange grove school
TNU2A,plumb school
I7FXW,lift academy
AF6GM,keiser university
NGRW0,rasmussen university
N03VT,dunedin highland middle school
QLUU0,dunedin elementary school
XBEKA,oakhurst elementary school
7QBRW,meadowlawn middle school
F7PFK,northeast high school
51HQC,jefferson high school
NK7NG,north hesperides street
MTQ0P,nevada avenue
555O3,nevada avenue
PSVP0,nevada avenue
6IVL2,learning independence for tomorrow (lift)
A0YB0,royal palm academy
GV8JG,royal palm academy
ESUO1,laurel oak elementary school
FR6W5,ridgecrest school
QHQKY,leila davis elementary school
3A2ED,mcmullen-booth elementary school
ZD7PL,seminole elementary school
APJF7,oakstead elementary
KVVOS,fort white high school
RCVBJ,john f. kennedy middle school
W005Y,jacobson culinary arts academy
BULOT,tarpon springs high school
6TV6M,montessori children's school
DNOXG,westview drive
4IYKA,bartram springs elementary school
5L6HY,north broward preparatory school
RUD7Z,pines middle school
67H02,gannon university
8AUQ7,gadsden christian academy
UNWPY,seabreeze high school
0RE6P,south alternative learning center
10GHB,west riverside school
HKBWT,venetia elementary school
73X59,lockmar elementary school
PWQPD,heritage high school
TVYA1,williston middle high school
C6Y3E,renaissance charter school at summit
29Y68,elementary school 2019
BJD9M,coleman middle school
JJIWW,cypress palm middle school
NDU5U,sabal palm elementary school
KACYM,osceola trail
SIAVL,james e. plew elementary school
4AX71,forest lake drive south
BP571,round lake elementary
85Q2C,crown point elementary school
NU4WW,ridgewood education complex
W7ZU3,sorrento elementary school
U49KV,saint elizabeth ann seaton catholic school
80H20,transportation way
LKZUP,saint patrick catholic school
TGPZB,triangle elementary school
OGKC6,reynolds school
6OZAY,sea park elementary school
ZHZE9,windermere preparatory school
O9XEY,environmental studies center
5VQN8,holy trinity school
8AFXA,sunridge middle school
W4BH2,grant avenue
Z2RKJ,southeastern school of health sciences
KEE49,west education path
59S01,gibson head start center
72Q07,college of central florida citrus campus
8H3GL,tavernier drive
Z67US,oldsmar trail
EA6LP,eustis high school
C4XNP,lake technical center
MK0V1,eustis heights elementary school
Y5QO9,normandy boulevard
PEKSP,umatilla high school
TV4NW,umatilla middle school
TEPCB,g-star school of the arts
H8TT4,hadley commons drive
7ED8Q,great neck road
PRM9X,somerset academy lakes
U27J7,marjory stoneman douglas high school
4ZJ9B,oslo middle school
3GABD,citrus landings boulevard
DNUJ4,first baptist academy
I65U3,somerset academy charter highschool
OP5NO,pine trail elementary school
UCVPI,westwood high school
6YQ9Z,chester a moore elementary school
FJ4WT,lincoln park academy
RB0KW,francis k sweet elementary school
P58YM,fort pierce boulevard
VLSOI,john carrol high school
8MNI4,northwest elementary school
UH63G,pasco hernando state college
F2C83,lake trafford elementary school
1YC7T,sablewood court
ERTA4,crestview high school
WRMNV,davidson middle school
BHE0J,richbourg school
17MAY,northwood elementary school
TFM0A,south side primary school
NOGB0,riverside elementary school
T6IB3,shoal river middle school
XYZRT,hardee junior high school
63FNQ,7440
ATJ0Z,walker elementary school
U5OOP,lone star road
LWZO9,lone star high school
K697K,seacoast charter academy
VHJ98,southwest anastasia way
CNXXU,madison county high school
W3BN2,southwest anastasia way
FVMQU,madison county central school
FJB21,technology drive
N1163,trafalgar middle school
RYJHD,trafalgar elementary school
NJWAX,pineapple cove classical academy at west melbourne
79I21,palm beach atlantic university orlando campus
0905Y,valencia college lane
YYSMC,cheney elementary school
3RDQP,jones college
3LLJX,new smyrna beach high school
LVERC,ortona elementary school
KMIIB,westside elementary school
2Z6YV,international speedway boulevard
3XRC9,turie t small elementary school
FCN70,campbell middle school
BA9E8,r j longstreet elementary school
A46V4,indian river elementary school
1IR9M,chisolm elementary school
3EXKD,read-patillo elementary school
9RCEJ,new smyrna beach middle school
WV363,atlantic boulevard
R8GRI,100
ZZ330,1750
ULA1I,9039
NRQNU,lake forrest prep 400 building
6SLJ1,baker school
BDON6,love grove elementary school
YX4LH,ridge technical college
H41IB,citrus ridge academy
R7CW7,micanopy academy
FS3ON,lincoln avenue school
DXSG8,riveroak technical college
PIZ9O,suwannee primary school
LHLSO,suwannee elementary school
47GRB,suwannee high school
VG265,byrom street
R1402,parkway middle school
ZAOU9,florida parkway
JN1BL,neptune middle school
6HYUR,bradford middle school
WSL72,west weldon street
616KE,discovery elementary school
IGOFR,addie r lewis k-8 school
WNZ1I,gamble rodgers middle school
242SD,173
KQ6GK,edwins elementary school
9WPVI,worley boulevard
JZKDN,mascotte elementary school
B5XN6,cecil e gray middle school
T35I7,groveland elementary school
2KSQJ,umatilla elementary school
D60MN,treadway elementary school
9ZUHE,eustis high school
XLWCG,tavares elementary school
I402C,tavares high school
MMK21,tavares middle school
TQYMS,edge school
QMSVV,antioch elementary school
145GJ,laurel hill school
0MFPZ,nwfsc robert l.f. sikes education center crestview
5NGKO,olive street academy
BH8BU,central avenue school
O94Q4,tyndall youth center
NY79Z,lakemont avenue
H7QBU,mandarin road
FKNP0,trinity prep lane
YB8Q4,nwfsc/uwf ft walton campus
OTOVQ,bonner elementary school
5RUAO,ormond beach middle school
IGHZH,tomoka elementary school
7S2XH,david c hinson middle school
5EVCA,champion elementary school
J1EDJ,sagemont lower school
SKH3R,carlton palmore elementary school
OYRQX,2585
2FTE8,new gate school
GT6CQ,buolevard heights elementary school
7W3M2,apollo middle school
Q8J8Z,off campus learning center
WS0U5,indian river state college
94KEO,fairlawn elementary school
V3V5S,hagerty high school
8FS8S,carillon elementary school
I5H5W,florine j. abel elementary school
LQAE3,sara scott harllee middle school
A6PEP,hyde grove early learning center
77COY,hyde park school
CYVC3,west county road 419
UFOVP,twin rivers boulevard
2I89R,stenstrom elementary
XK6ZF,king street
DWKXM,academy avenue
T5M53,sallie jones elementary school
K7PI7,indian trace
WNIC8,charlotte high school
JRVB5,punta gorda junior high school
UP74J,henry s west laboratory elementary school
FN1YZ,everglades elementary school
11VZE,ballard elementary school
95CWW,riverside high school
N3OTW,saint paul's catholic school
NLV4J,hollywood academy of arts and sciences
GI39M,1198
GT4DM,east chapman road
1TMSB,lawton avenue
WUARD,saint theresa catholic school
XJBTH,saint philip's episcopal church and school
29FFO,6575
CUG47,burns middle school grounds
OM1OI,la peptite of miramar
00QVH,croissant park elementary school
5MC2E,lake placid elementary school
WSBQC,lake placid middle school
XUDX3,stetson university
5GWUY,stetson university
Z4GX1,east university avenue
QU0BT,east university avenue
HP9D2,community christian school
R9Q93,lake erie school of dental medicine
SFUVU,franklin county school
QMRX2,liberty pines academy
Q0JLZ,parker elementary school
ZJ5P7,cochran boulevard
YXZV4,bozeman learning center
HDW8W,oscar patterson elementary school
L3GTM,m. cherry street elementary school
M0X66,mowat middle school
SMSML,bay high school
JLXA9,bay high school
PII29,bay high school
4FZV9,hollywood park elementary school
HL1UB,new renaissance middle school
OHWRI,northwest 129th avenue
F3GYE,northwest 129th avenue
GZZC4,peace river elementary school
B348K,carnaghi arts
8L6G1,8th avenue south
KAL5Z,j.r. arnold high school
NALTW,west hollywood elementary school
0OOKU,deer point elementary school
DUL4C,cedar grove elementary school
85IGH,callaway elementary
RW98V,hiland park elementary school
4XOJ0,patronis elementary school
3WU53,northside elementary school
3H0G8,waller elementary school
E7PDK,tommy smith elementary school
ZW9NP,thomas jefferson elementary school
3G3YP,cypress k-8
QKYE8,union park elementary school
Q2T3Q,saint johns river state college
UGCC6,14141
X2N07,tuskawilla road
FTS0P,lake howell high school
6BR9T,valley ridge academy
2ZPQN,deland senior high school
O4C19,friendship elementary school
74VZR,deltona lakes elementary school
CTF0Y,bartow elementary school
SWO48,duval charter school at westside
XGSO7,frederick douglas head start
0VXH3,euclid high school
PMEED,blue lake elementary school
15Y30,john f kennedy middle school
EDC7A,kingsway elementary school
3OYWX,citrus grove elementary school
VAAP4,university of tampa east campus
YH1B4,sergeant paul r. smith middle school
AA122,george marks elementary school
02W1Z,gause academy of leadership and applied technology
6XV4B,trask lane
1ZQX9,meadowbrook middle school
WR4LI,ocps academic center for excellence
G7QNR,university high school
XAYYO,miami senior high school
UQS0N,kids community college south campus
JDXHV,escuela 63
RPYV7,atwater elementary school
GGWYK,c.o.a.s.t. charter school
BAGCR,whitehouse elementary school
9RSY7,sawgrass bay elementary
P8GZ1,lake-sumter state college - south lake
8TDCW,wakulla center - tallahassee community college
SEOPC,gulf high school
AX7M1,river city science academy
PLV03,hornets nest road
3AZ8H,mandarin oaks elementary school
VW9I9,2601
W4PV8,15000
I04V5,norman s. edelcup/sunny isles beach k-8
MUKGW,beauclerc school
WY1G2,franklin academy
8YHPF,jefferson elementary school
AEL09,myrtle grove elementary
MYPW8,350
NK0LI,loretto elementary school
QBTS1,sunrise drive
4DW0U,77th street
N0Q9S,kendall square k-8 center
KDKHW,9600
IB49O,deep creek elementary school
X7W5S,liberty elementary school
4MCF3,randal middle school
GTFBG,university academy
ODUJC,murdock middle school
Z0K84,saint stephen catholic school
LHTBY,legacy education alliance
WL710,crystal river middle school
79EIG,crystal river high school
64T78,osceola elementary
G8HNY,community school of naples
S7BHQ,rosenwald school
FB6JU,homosassa elementary school
K48VP,bexley elementary school
VEVWC,destin middle school
DN7DR,melbourne central catholic high school
GA9Y6,creek road
V2PKW,shinn road
1JD5Y,yankeetown school
BS9CH,john snively elementary school
RQWQP,lake shipp elementary school
HE79H,lutz elementary school
00GSJ,okaloosa technical college
Z34RG,spectrum academy
RJR62,calvary christian academy
IUDVV,suwannee middle school
MJZ67,betton hills school
9RNEH,seminole montessori school
SS80R,port malabar elementary
C14PE,vero beach elementary school
OYXD2,gifford middle school
L4CPZ,treasure coast technical college
X6FP5,alternative center for education
RZQQ7,placida road
F33R7,san jose catholic school
PCQ17,kings trail school
1SGI2,san jose episcopal day school
U9CXA,frostproof elementary school
N47XN,frostproof ben hill griffin
9C0F2,sneads elementary school
X9L20,charlotte harbor center
JOAC9,hancock avenue
FAJMQ,maclay school
3OKMX,quest elementary school
6KR7I,aurelia m. cole academy
1SVLK,cypress ridge elementary
J4OMI,1198
EUHHK,glendale elementary school
F751E,fiu student housing quad path
Z2G2H,southern aeromedical institute
NG9FG,rockledge high school
T9I7A,coral terrace elementary school
AWKNA,don soffer aventura high school
CW26Y,2020
YTRTE,saint augustine high school
ZN0GF,the webster school
FKJD7,r.j. murray middle school
CQW0G,south fiske boulevard
L5H3K,san jose elementary school
1SE3F,pasco-hernando state college - west campus
58CY8,nova southeastern university - tampa bay regional campus
RX4MX,innovation lane
WNYAJ,central florida aerosapce academy
855IV,woodland middle school
HARZG,14750
OJDZT,navigator academy of leadership
RB13Y,tarpon springs middle school
9QK1Y,florida technical college - deland campus
HHNVR,orangewood elementary school
5UCBO,ray v potterf elementary school
18ACE,colonial elementary school
SJC9U,tanglewood elementary school
HC6L0,4750
AO513,riverdale high school
DDGHB,oak hammock middle school
YGCNV,orange river elementary school
TK80E,tice elementary school
C9AGD,littleton elementary school
A39KD,northeast 12th place
0N569,island coast high school
MZTRH,bayshore elementary school
ED5OV,julia street
3VUOM,somerset academy
JCYGC,toledo blade elementary school
8BIQ9,cranberry elementary school
8KDRZ,lamarque elementary school
9VDN9,north port high school
DSC8Z,heron creek middle school
421QV,glenallen elementary school
0873B,saint anthony's school
D96EU,gulfstream academy of hallandale beach
IXY7S,saint mark's episcopal school
GUTD7,northwest 5th court
DFDUW,saint thomas aquinas high school
DLTCY,mamie agnes jones elementary school
JJBXL,baldwin middle senior high school
B5XR3,westview pre-k-8 school
835FW,frank m golson elementary school
P1T3P,lawton chiles middle academy
4L22U,turner/bartels k-8 school - lower campus
CU2QT,turner/bartels
73MSF,greenville elementary school
RCM3S,starke elementary school
J2G8Q,hilliard elementary school
98BE5,santa fe college
V5WXV,sun n lake elementary
F5TEY,colson elementry school
LC63O,lopez elementry school
VYZVO,triple creek boulevard
HU878,beth street
A30BJ,hill gustat middle school
UK77P,avon park high school
2TP0B,riverview academy of math and science
9AFAY,north bay haven charter academy elementary school
UGM4C,south florida state college
TQ7Y1,cracker trail elementary school
5XDXX,avon elementary school
BUPSM,woodlawn elementary school
8NVXT,sebring high school
3CY6C,memorial elementary school
DY3P7,park elementary school
A3IWJ,fred wild elementary school
C96GD,kindergarten learning center
HEO9Y,lake placid high school
